file,cell_type,phi,hours,n_expert,meanq_expert,meanarea_expert,n_ours,meanq_ours,meanarea_ours,n_conncomp,meanq_conncomp,meanarea_conncomp,n_oursalt,meanq_oursalt,meanarea_oursalt,n_cellpose,meanq_cellpose,meanarea_cellpose
BT474_Phase_D3_1_04d04h00m_3.tif,BT474,0.40317652207168064,100.0,268,4.277625946960149,442.1940298507463,215,4.27832750576773,473.846511627907,15,5.498756671433269,2261.0666666666666,83,4.591347542215644,1003.289156626506,175,4.111925162367707,496.90285714285716
BT474_Phase_D3_2_03d04h00m_2.tif,BT474,0.22012091359812172,76.0,125,4.321876235257663,601.808,171,4.219970526623359,488.2456140350877,22,4.278287761737922,2969.7272727272725,79,4.300937641235164,949.5189873417721,124,4.201441600700289,597.2016129032259
BT474_Phase_D3_1_01d12h00m_4.tif,BT474,0.21209833711210496,36.0,155,4.246408204112415,438.47741935483873,137,4.1330436440605185,484.40875912408757,42,4.648289859414505,1369.7142857142858,81,4.155995938237957,709.9012345679013,115,4.112598531787228,536.1130434782609
BT474_Phase_D3_2_04d16h00m_1.tif,BT474,0.3384119685587869,112.0,250,4.283749727112392,431.464,290,4.227129140138696,446.2413793103448,10,5.036189032323412,3550.9,121,4.511098045584656,940.5454545454545,230,4.113093179099611,471.75652173913045
BT474_Phase_D3_2_00d12h00m_3.tif,BT474,0.14464582359046887,12.0,104,4.115364714915358,472.28846153846155,120,4.073370797652969,419.85,46,4.399266753296862,1014.1304347826087,94,4.109882996788006,535.0531914893617,104,4.140050943941694,447.88461538461536
BT474_Phase_D3_1_04d04h00m_4.tif,BT474,0.3331250180288514,100.0,237,4.296361268347466,452.64978902953584,237,4.265215916017961,459.42616033755274,15,4.997210840814123,2853.866666666667,103,4.473295313349395,912.4077669902913,174,4.171308952123892,516.6954022988506
BT474_Phase_D3_1_03d16h00m_3.tif,BT474,0.36647837672092787,88.0,189,4.316771507746902,561.7037037037037,207,4.270406812778105,511.8502415458937,9,4.9574109268547675,3779.8888888888887,85,4.5073092129525545,1033.6,155,4.116636292211052,547.1870967741935
BT474_Phase_D3_1_02d12h00m_4.tif,BT474,0.27407441187718073,60.0,134,4.278948313814552,649.8283582089553,185,4.234272164750436,502.74594594594595,23,4.978642187498848,2652.3478260869565,93,4.354960973017859,865.1612903225806,126,4.185407447174621,558.4206349206349
BT474_Phase_D3_1_01d12h00m_2.tif,BT474,0.24591011431927132,36.0,175,4.254579034202717,434.37142857142857,165,4.138509476356459,489.3818181818182,38,4.241506274941743,1737.0526315789473,98,4.1903634094390165,759.3673469387755,138,4.100331889990289,507.04347826086956
BT474_Phase_D3_2_02d00h00m_2.tif,BT474,0.23880052147071634,48.0,130,4.2979640566833535,577.9153846153846,164,4.1953667706223134,478.5975609756098,25,4.2781640976515405,2229.8,70,4.33890651579985,991.3428571428572,106,4.126859253248309,639.9622641509434
