method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
ours (watershed),BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544,0,765,2,0.0,,765,2
ours (watershed),BV2_Phase_A4_1_00d00h00m_1.tif,0.0294019703343539,76,0,4,0.9743589743589745,0.8326130688020051,76,80
ours (watershed),BV2_Phase_A4_2_00d12h00m_2.tif,0.0368112431708886,96,3,10,0.9365853658536586,0.8521051156294496,99,106
ours (watershed),BV2_Phase_A4_2_00d12h00m_3.tif,0.0422572508741204,110,0,7,0.9691629955947136,0.8698283352731968,110,117
ours (watershed),BV2_Phase_A4_1_00d08h00m_4.tif,0.0474488331785449,120,2,10,0.9523809523809524,0.8614132963169046,122,130
ours (watershed),BV2_Phase_A4_1_00d12h00m_4.tif,0.0585218098502969,134,2,19,0.9273356401384084,0.8766242164460536,136,153
ours (watershed),BV2_Phase_A4_1_00d16h00m_4.tif,0.0667061146470662,152,4,21,0.9240121580547112,0.8869273126210252,156,173
ours (watershed),SHSY5Y_Phase_A10_1_00d00h00m_1.tif,0.0716887744482031,119,17,51,0.7777777777777778,0.8085784381838343,136,170
ours (watershed),MCF7_Phase_H4_1_00d04h00m_1.tif,0.0813146346427115,72,24,12,0.8,0.7776784700613797,96,84
ours (watershed),Huh7_Phase_A12_1_00d04h00m_4.tif,0.0888376772836557,31,5,4,0.8732394366197183,0.8412003022497283,36,35
ours (watershed),SHSY5Y_Phase_A10_2_00d04h00m_1.tif,0.0926829638330505,84,27,48,0.691358024691358,0.7532957268551863,111,132
ours (watershed),A172_Phase_C7_2_00d00h00m_4.tif,0.0981362103911707,54,2,7,0.9230769230769232,0.8780141175855681,56,61
ours (watershed),BT474_Phase_D3_2_00d00h00m_4.tif,0.1027899897563427,112,6,8,0.9411764705882352,0.8693250636178987,118,120
ours (watershed),BT474_Phase_D3_1_00d00h00m_4.tif,0.1059938376857518,118,11,10,0.9182879377431906,0.8729834582544352,129,128
ours (watershed),MCF7_Phase_H4_1_00d08h00m_3.tif,0.1102085003278018,88,21,5,0.8712871287128713,0.7829191540216982,109,93
ours (watershed),MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,96,35,10,0.810126582278481,0.7977534815365409,131,106
ours (watershed),Huh7_Phase_A12_2_00d16h00m_2.tif,0.1168020648492064,30,19,12,0.6593406593406593,0.7780507991513852,49,42
ours (watershed),Huh7_Phase_A12_2_00d08h00m_1.tif,0.1206925176191,38,17,13,0.7169811320754716,0.8010421377739662,55,51
ours (watershed),Huh7_Phase_A12_2_00d20h00m_2.tif,0.1242715482954564,37,14,7,0.7789473684210526,0.8271448492792828,51,44
ours (watershed),BV2_Phase_A4_2_01d08h00m_3.tif,0.1262619446568997,236,9,34,0.916504854368932,0.83661235477203,245,270
ours (watershed),A172_Phase_C7_2_00d00h00m_2.tif,0.1295227178485504,87,10,17,0.8656716417910447,0.8460742766306775,97,104
ours (watershed),SkBr3_Phase_G3_1_00d00h00m_3.tif,0.1333436557582902,156,4,15,0.9425981873111784,0.8274343346894586,160,171
ours (watershed),MCF7_Phase_H4_2_00d04h00m_4.tif,0.1361548183457175,126,29,12,0.8600682593856656,0.7924479810974202,155,138
ours (watershed),SHSY5Y_Phase_A10_2_00d12h00m_3.tif,0.1380454535893816,87,51,58,0.6148409893992933,0.7005701507471902,138,145
ours (watershed),SkBr3_Phase_G3_1_00d04h00m_3.tif,0.139890525295022,155,15,12,0.9198813056379822,0.802573261804971,170,167
ours (watershed),SKOV3_Phase_E4_2_00d00h00m_4.tif,0.1426584577141608,44,7,2,0.9072164948453608,0.8415858572623768,51,46
ours (watershed),BV2_Phase_A4_1_01d04h00m_4.tif,0.1448381379753116,273,8,33,0.93015332197615,0.8243480159083049,281,306
ours (watershed),Huh7_Phase_A12_2_03d20h00m_3.tif,0.1468831187172204,27,63,7,0.4354838709677419,0.8007905526076284,90,34
ours (watershed),SKOV3_Phase_F4_2_00d00h00m_4.tif,0.1481236483828706,43,18,8,0.7678571428571429,0.8244703787060262,61,51
ours (watershed),SkBr3_Phase_G3_1_00d00h00m_2.tif,0.1504229474431802,196,3,11,0.9655172413793104,0.8405261251172162,199,207
ours (watershed),Huh7_Phase_A12_2_01d16h00m_2.tif,0.1522591549661302,40,20,15,0.6956521739130435,0.7474071098655116,60,55
ours (watershed),Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,42,30,9,0.6829268292682927,0.7820912159877744,72,51
ours (watershed),SkBr3_Phase_G3_1_00d04h00m_4.tif,0.1562341936188849,188,9,13,0.9447236180904522,0.7934304276619182,197,201
ours (watershed),Huh7_Phase_A12_2_00d20h00m_3.tif,0.1577817518028792,46,19,10,0.7603305785123967,0.8034518871962967,65,56
ours (watershed),Huh7_Phase_A12_1_01d16h00m_2.tif,0.1584713477928302,37,33,33,0.5285714285714286,0.7411982485814328,70,70
ours (watershed),Huh7_Phase_A12_2_01d16h00m_3.tif,0.1611137650240333,34,35,19,0.5573770491803278,0.7808925941007796,69,53
ours (watershed),MCF7_Phase_H4_1_00d12h00m_2.tif,0.1638082270268782,118,31,36,0.7788778877887789,0.7738631164492432,149,154
ours (watershed),Huh7_Phase_A12_1_01d20h00m_2.tif,0.1662786145104901,49,20,12,0.7538461538461538,0.7564747982446334,69,61
ours (watershed),MCF7_Phase_H4_1_00d16h00m_2.tif,0.1681999506938327,114,61,27,0.7215189873417721,0.7743488968304952,175,141
ours (watershed),SHSY5Y_Phase_A10_2_01d00h00m_3.tif,0.1699965802556821,104,86,77,0.5606469002695418,0.6898145315091079,190,181
ours (watershed),Huh7_Phase_A12_1_02d04h00m_3.tif,0.173174020569272,41,24,10,0.7068965517241379,0.7805836454451721,65,51
ours (watershed),BT474_Phase_D3_2_00d16h00m_4.tif,0.1764945076212916,103,44,23,0.7545787545787546,0.7813486794096627,147,126
ours (watershed),Huh7_Phase_A12_1_01d16h00m_3.tif,0.1796863701923214,43,22,38,0.589041095890411,0.7808943440324122,65,81
ours (watershed),Huh7_Phase_A12_1_02d16h00m_3.tif,0.1824805747377622,38,25,14,0.6608695652173913,0.7651489671527849,63,52
ours (watershed),SHSY5Y_Phase_A10_2_01d08h00m_4.tif,0.1851556263658183,79,59,76,0.5392491467576792,0.704669311829931,138,155
ours (watershed),BV2_Phase_A4_1_01d16h00m_3.tif,0.187492754179413,379,35,71,0.8773148148148148,0.8269300038800006,414,450
ours (watershed),MCF7_Phase_H4_1_01d00h00m_2.tif,0.1887665939138965,175,57,36,0.7900677200902935,0.7756551829234166,232,211
ours (watershed),SkBr3_Phase_G3_2_00d12h00m_4.tif,0.1910039259178467,198,5,17,0.9473684210526316,0.8816139878337991,203,215
ours (watershed),Huh7_Phase_A12_1_00d04h00m_1.tif,0.1929179481260964,65,24,11,0.7878787878787878,0.806567319470499,89,76
ours (watershed),SKOV3_Phase_F4_1_00d00h00m_1.tif,0.1950236978256121,58,7,5,0.90625,0.8472597586070891,65,63
ours (watershed),BT474_Phase_D3_2_01d00h00m_4.tif,0.1967080236560334,117,55,27,0.740506329113924,0.7792363599400017,172,144
ours (watershed),MCF7_Phase_H4_1_00d12h00m_4.tif,0.199142346754818,181,31,29,0.8578199052132701,0.7882682747511591,212,210
ours (watershed),SHSY5Y_Phase_A10_2_02d04h00m_4.tif,0.2029514238690923,138,102,61,0.6287015945330297,0.6935627981247919,240,199
ours (watershed),A172_Phase_C7_1_00d00h00m_1.tif,0.2058335507266161,59,9,87,0.5514018691588785,0.8792714023327254,68,146
ours (watershed),BT474_Phase_D3_2_01d12h00m_3.tif,0.2070248795345295,109,62,39,0.6833855799373041,0.7876610801469971,171,148
ours (watershed),Huh7_Phase_A12_1_03d08h00m_3.tif,0.2098361360904707,30,30,28,0.5084745762711864,0.7993636789274692,60,58
ours (watershed),BT474_Phase_D3_1_01d12h00m_4.tif,0.2120983371121049,116,49,70,0.6609686609686609,0.7694200532894687,165,186
ours (watershed),BV2_Phase_A4_1_01d20h00m_3.tif,0.2154246559495214,441,72,63,0.8672566371681416,0.8157481407176876,513,504
ours (watershed),BT474_Phase_D3_2_02d04h00m_4.tif,0.2166001582987392,124,97,31,0.6595744680851063,0.7506187747672347,221,155
ours (watershed),BV2_Phase_A4_1_01d20h00m_2.tif,0.2186266480004475,470,65,98,0.8522212148685403,0.8008329038413886,535,568
ours (watershed),BV2_Phase_A4_2_01d20h00m_2.tif,0.2205057551628058,429,30,63,0.9022082018927444,0.7915985768732233,459,492
ours (watershed),Huh7_Phase_A12_1_03d04h00m_2.tif,0.2223006781304651,44,40,12,0.6285714285714286,0.7698303487667029,84,56
ours (watershed),Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,25,43,10,0.4854368932038835,0.7380435515454348,68,35
ours (watershed),Huh7_Phase_A12_1_03d16h00m_3.tif,0.2282039785019647,32,47,17,0.5,0.7275496709285973,79,49
ours (watershed),Huh7_Phase_A12_2_03d16h00m_2.tif,0.2313321384670037,27,54,17,0.432,0.7634054605361735,81,44
ours (watershed),BT474_Phase_D3_2_02d16h00m_3.tif,0.2341203089488616,110,113,35,0.5978260869565217,0.7640278639213814,223,145
ours (watershed),Huh7_Phase_A12_1_01d00h00m_1.tif,0.2369281155758306,66,23,10,0.8,0.8161596316190601,89,76
ours (watershed),BT474_Phase_D3_2_04d12h00m_2.tif,0.2390348839051585,103,119,46,0.555256064690027,0.7219452536309455,222,149
ours (watershed),BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,474,45,81,0.88268156424581,0.8002674429219515,519,555
ours (watershed),MCF7_Phase_H4_2_00d20h00m_2.tif,0.2437779255900471,202,56,30,0.8244897959183674,0.7922366750803814,258,232
ours (watershed),MCF7_Phase_H4_1_01d20h00m_1.tif,0.2460750113363429,226,108,28,0.7687074829931972,0.7819419244650951,334,254
ours (watershed),SHSY5Y_Phase_A10_2_01d16h00m_1.tif,0.2473626677228901,154,154,94,0.5539568345323741,0.6714841024306543,308,248
ours (watershed),Huh7_Phase_A12_1_03d12h00m_2.tif,0.2495064894285503,45,48,10,0.6081081081081081,0.7833116584956825,93,55
ours (watershed),Huh7_Phase_A12_1_03d20h00m_3.tif,0.2521237349759651,30,53,12,0.48,0.7475970024686449,83,42
ours (watershed),MCF7_Phase_H4_1_00d20h00m_4.tif,0.2537020290646659,196,49,29,0.8340425531914893,0.8071622671635276,245,225
ours (watershed),SkBr3_Phase_G3_2_01d08h00m_1.tif,0.255853763931378,279,23,27,0.9177631578947368,0.7815551094004783,302,306
ours (watershed),SkBr3_Phase_G3_2_01d00h00m_1.tif,0.2577601875273078,256,22,24,0.9175627240143368,0.8787406587807183,278,280
ours (watershed),BT474_Phase_D3_2_04d00h00m_2.tif,0.2600584377731598,115,82,86,0.5778894472361809,0.7138881910811831,197,201
ours (watershed),SHSY5Y_Phase_A10_1_01d04h00m_2.tif,0.2631267046820448,157,120,202,0.4937106918238994,0.6775448331843291,277,359
ours (watershed),SkBr3_Phase_G3_2_01d12h00m_4.tif,0.2652523145214181,267,30,19,0.915951972555746,0.7755883109703987,297,286
ours (watershed),SkBr3_Phase_G3_1_01d08h00m_4.tif,0.2678101598011316,242,49,32,0.856637168141593,0.7905070268946843,291,274
ours (watershed),SkBr3_Phase_G3_2_01d04h00m_2.tif,0.2698067688756692,241,16,22,0.926923076923077,0.8778781164768698,257,263
ours (watershed),Huh7_Phase_A12_1_01d08h00m_1.tif,0.2733935830965909,71,24,41,0.6859903381642513,0.7597039583999707,95,112
ours (watershed),BT474_Phase_D3_2_01d16h00m_1.tif,0.2760247847465017,135,52,92,0.6521739130434783,0.751214825486775,187,227
ours (watershed),SkBr3_Phase_G3_2_01d08h00m_3.tif,0.2781882167832071,306,29,38,0.9013254786450664,0.7835922550985139,335,344
