setting,file,phi,tp,fp,fn,f1,matched_iou
detection-optimal,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544453,0,765,2,0.0,
balanced,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544453,0,720,2,0.0,
measurement-optimal,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544453,0,601,2,0.0,
connected components,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544453,0,77,2,0.0,
detection-optimal,BV2_Phase_A4_2_00d12h00m_3.tif,0.042257250874120474,110,0,7,0.9691629955947136,0.8698283352731968
balanced,BV2_Phase_A4_2_00d12h00m_3.tif,0.042257250874120474,110,0,7,0.9691629955947136,0.8698283352731968
measurement-optimal,BV2_Phase_A4_2_00d12h00m_3.tif,0.042257250874120474,97,4,20,0.8899082568807339,0.8617651404707589
connected components,BV2_Phase_A4_2_00d12h00m_3.tif,0.042257250874120474,35,24,82,0.3977272727272727,0.8569830624526504
detection-optimal,BV2_Phase_A4_2_00d12h00m_1.tif,0.058501196732954466,122,17,23,0.8591549295774648,0.8382079483912982
balanced,BV2_Phase_A4_2_00d12h00m_1.tif,0.058501196732954466,121,17,24,0.8551236749116607,0.8376972702788298
measurement-optimal,BV2_Phase_A4_2_00d12h00m_1.tif,0.058501196732954466,101,23,44,0.7509293680297398,0.8412297596823161
connected components,BV2_Phase_A4_2_00d12h00m_1.tif,0.058501196732954466,33,30,112,0.3173076923076923,0.8168010907757669
detection-optimal,BV2_Phase_A4_2_01d00h00m_2.tif,0.07015157165101153,143,1,16,0.9438943894389439,0.869040990892376
balanced,BV2_Phase_A4_2_01d00h00m_2.tif,0.07015157165101153,142,1,17,0.9403973509933775,0.869947021705811
measurement-optimal,BV2_Phase_A4_2_01d00h00m_2.tif,0.07015157165101153,133,3,26,0.9016949152542373,0.8698350422152862
connected components,BV2_Phase_A4_2_01d00h00m_2.tif,0.07015157165101153,44,27,115,0.3826086956521739,0.8475661239694005
detection-optimal,BV2_Phase_A4_2_01d00h00m_3.tif,0.08453774898929524,170,4,18,0.9392265193370166,0.852922509653354
balanced,BV2_Phase_A4_2_01d00h00m_3.tif,0.08453774898929524,170,4,18,0.9392265193370166,0.852922509653354
measurement-optimal,BV2_Phase_A4_2_01d00h00m_3.tif,0.08453774898929524,155,8,33,0.8831908831908832,0.8456813615261001
connected components,BV2_Phase_A4_2_01d00h00m_3.tif,0.08453774898929524,28,32,160,0.22580645161290322,0.7978159577493511
detection-optimal,Huh7_Phase_A12_1_00d16h00m_4.tif,0.0972927454381594,30,12,7,0.759493670886076,0.7992183980150261
balanced,Huh7_Phase_A12_1_00d16h00m_4.tif,0.0972927454381594,30,9,7,0.7894736842105263,0.8107401672263381
measurement-optimal,Huh7_Phase_A12_1_00d16h00m_4.tif,0.0972927454381594,26,5,11,0.7647058823529411,0.8405090985925242
connected components,Huh7_Phase_A12_1_00d16h00m_4.tif,0.0972927454381594,22,5,15,0.6875,0.7902333982715827
detection-optimal,Huh7_Phase_A12_1_01d00h00m_4.tif,0.10511547011582208,25,21,10,0.6172839506172839,0.7814802201634714
balanced,Huh7_Phase_A12_1_01d00h00m_4.tif,0.10511547011582208,26,17,9,0.6666666666666666,0.7689902973194536
measurement-optimal,Huh7_Phase_A12_1_01d00h00m_4.tif,0.10511547011582208,18,13,17,0.5454545454545454,0.8044227103199834
connected components,Huh7_Phase_A12_1_01d00h00m_4.tif,0.10511547011582208,9,13,26,0.3157894736842105,0.6868624395628468
detection-optimal,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,96,35,10,0.810126582278481,0.7977534815365409
balanced,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,88,11,18,0.8585365853658536,0.8061291716902208
measurement-optimal,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,79,8,27,0.8186528497409327,0.8126780257604113
connected components,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,22,23,84,0.2913907284768212,0.8054034964136982
detection-optimal,SHSY5Y_Phase_A10_2_00d08h00m_2.tif,0.1181871183894346,107,40,24,0.7697841726618705,0.7369882202209718
balanced,SHSY5Y_Phase_A10_2_00d08h00m_2.tif,0.1181871183894346,100,35,31,0.7518796992481203,0.7371223206499821
measurement-optimal,SHSY5Y_Phase_A10_2_00d08h00m_2.tif,0.1181871183894346,82,25,49,0.6890756302521008,0.739484288856114
connected components,SHSY5Y_Phase_A10_2_00d08h00m_2.tif,0.1181871183894346,16,43,115,0.16842105263157894,0.7709596810095203
detection-optimal,Huh7_Phase_A12_2_01d04h00m_2.tif,0.12536457468313036,35,18,16,0.6730769230769231,0.7724445489827041
balanced,Huh7_Phase_A12_2_01d04h00m_2.tif,0.12536457468313036,27,14,24,0.5869565217391305,0.7914864670931036
measurement-optimal,Huh7_Phase_A12_2_01d04h00m_2.tif,0.12536457468313036,17,11,34,0.43037974683544306,0.773962034605668
connected components,Huh7_Phase_A12_2_01d04h00m_2.tif,0.12536457468313036,14,12,37,0.36363636363636365,0.8176614055707383
detection-optimal,Huh7_Phase_A12_1_02d00h00m_4.tif,0.13045062295127088,31,18,5,0.7294117647058823,0.7884876374486383
balanced,Huh7_Phase_A12_1_02d00h00m_4.tif,0.13045062295127088,32,9,4,0.8311688311688312,0.8277078123278254
measurement-optimal,Huh7_Phase_A12_1_02d00h00m_4.tif,0.13045062295127088,27,2,9,0.8307692307692308,0.8283284719661237
connected components,Huh7_Phase_A12_1_02d00h00m_4.tif,0.13045062295127088,9,13,27,0.3103448275862069,0.8804436252305654
detection-optimal,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,292,20,41,0.9054263565891473,0.7963801486823271
balanced,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,290,20,43,0.9020217729393468,0.7969682290971591
measurement-optimal,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,255,26,78,0.8306188925081434,0.8012515143999475
connected components,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,21,35,312,0.10796915167095116,0.7813134753898543
detection-optimal,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,297,13,34,0.9266770670826833,0.8133975727596268
balanced,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,290,15,41,0.9119496855345912,0.8132880196934662
measurement-optimal,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,245,29,86,0.8099173553719008,0.8152834162417539
connected components,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,27,33,304,0.13810741687979539,0.8130022530662502
detection-optimal,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,37,25,15,0.6491228070175439,0.8342533886296185
balanced,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,36,13,16,0.7128712871287128,0.8466008503902565
measurement-optimal,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,34,4,18,0.7555555555555555,0.8552683189024297
connected components,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,26,8,26,0.6046511627906976,0.8060705123390908
detection-optimal,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,33,26,8,0.66,0.7740121918303946
balanced,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,21,13,20,0.56,0.7925039663420337
measurement-optimal,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,18,6,23,0.5538461538461539,0.8061518033451031
connected components,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,9,18,32,0.2647058823529412,0.7936581815804373
